,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Febuary 2020,Mar-20,Apr-20,May-20,Jun-20,Jul-20
Nigeria,95,105,164,149,180,212,,,,,,
U.S.,96,147,116,98,121,159,,,,,,
India,128,157,193,138,169,158,,,,,,
Mexico,60,68,101,98,110,125,,,,,,
Cameroon,81,109,101,97,116,123,,,,,,
Ghana,64,65,100,93,100,104,,,,,,
Congo - Kinshasa,55,77,107,92,86,98,,,,,,
Côte d'Ivoire,37,64,83,78,83,93,,,,,,
Argentina,84,68,114,119,82,81,,,,,,
Kenya,73,67,69,63,70,72,,,,,,
Guatemala,22,,,,17,59,,,,,,
Peru,29,31,36,39,25,53,,,,,,
Mali,,24,27,,35,52,,,,,,
Guinea,18,,29,44,40,51,,,,,,
Philippines,25,23,38,37,29,49,,,,,,
Burkina Faso,,27,32,31,30,45,,,,,,
South Africa,40,40,44,57,45,45,,,,,,
Honduras,,,,29,41,44,,,,,,
Colombia,,25,39,37,30,43,,,,,,
Senegal,28,29,33,33,31,42,,,,,,
Benin,28,34,31,34,47,40,,,,,,
Togo,28,24,24,30,37,38,,,,,,
Ethiopia,19,29,32,26,33,38,,,,,,
Uganda,,34,30,38,28,35,,,,,,
Brazil,24,28,39,25,29,33,,,,,,
Pakistan,22,,26,24,,,,,,,,
Gabon,18,,28,,,,,,,,,
France,19,23,,,,,,,,,,
Congo - Brazzaville,,22,,,,,,,,,,
Indonesia,21,,,,,,,,,,,
Cuba,20,,,,24,,,,,,,